,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
191,71501,763418.0,0.00837480080927,0.766520240969,0.251707967859,0.00948269131772,0.00783324241407,-0.490418294129,0.010496,0.147884,0.0199615442719
178,72501,742784.0,0.00833033843656,0.771637275747,0.244352268764,0.00945050083575,0.00787522651028,-0.497538203164,0.010505,0.147381,0.0200058155978
21,73501,743378.0,0.00824945472948,0.766504266106,0.247022935111,0.00937204382612,0.00764982296688,-0.502789831351,0.010470,0.147704,0.0198916295276
114,74501,725089.0,0.00852153104109,0.76468546319,0.253311015493,0.00950231046305,0.0080714554074,-0.433253094672,0.010633,0.147820,0.0202071730215
69,75501,723269.0,0.00854581948872,0.77074487471,0.254120077027,0.00955155317885,0.00832137494654,-0.441986137565,0.010434,0.147284,0.019843240497
45,76501,705446.0,0.00835499811467,0.764428427984,0.241626434833,0.0093865170699,0.00763572304852,-0.461286447164,0.010405,0.147272,0.0198115814222
195,77501,708148.0,0.00846949775292,0.765540357382,0.25040930312,0.00951787784172,0.00801609373628,-0.462356864559,0.010439,0.147053,0.0198503684173
172,78501,698780.0,0.00850740614093,0.770465846578,0.249587309194,0.00954382640556,0.00817305588718,-0.455839137791,0.010641,0.146549,0.0202381278171
189,79501,666546.0,0.00835065357356,0.77021538158,0.245165630208,0.00947337924765,0.00790623944745,-0.497467488307,0.010650,0.146642,0.0202656695277
196,80501,665507.0,0.00830773024413,0.771119342925,0.248666829046,0.0093496712746,0.0078961372092,-0.467780526117,0.010451,0.146690,0.019881085105
32,81501,644229.0,0.00844789499909,0.766622980235,0.247939157717,0.00957097205897,0.0079850741705,-0.492547876121,0.010683,0.148465,0.0203095497455
